gen,avg,std,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,8.033333333333333,5.935673695733471,9,9,28,4,7,5,2,10,11,13,1,5,2,11,3,10,6,7,4,5,5,18,3,6,10,9,21,1,4,12
20,19.2,9.744742172063866,16,38,25,8,25,10,5,23,31,25,26,40,35,16,21,13,24,13,21,36,17,14,12,4,19,6,8,17,11,17
30,93.3,123.02740887027304,22,58,45,44,247,4,189,25,35,140,20,20,50,46,13,26,26,84,113,202,29,51,70,55,177,183,657,87,79,2
40,100.7,79.22337617984564,189,22,17,68,113,34,136,69,70,149,117,28,11,103,162,205,61,403,86,86,63,151,99,58,81,30,8,165,189,48
50,306.6333333333333,451.0880537347695,670,386,50,75,57,112,2501,305,351,96,359,113,167,43,867,258,106,28,82,228,333,309,111,184,157,506,391,28,57,269
60,106.26666666666667,81.4722584005678,20,34,194,244,21,203,112,136,106,118,139,328,110,176,28,42,6,168,71,93,111,67,3,176,70,254,23,88,12,35
70,276.56666666666666,229.62413974919002,102,324,139,263,444,14,382,191,256,188,110,349,553,302,44,111,57,47,181,673,281,41,103,228,1059,68,270,399,438,680
80,416.7,327.07115943374356,76,81,17,189,1073,563,1098,413,852,1223,388,141,778,274,495,670,442,349,171,133,95,362,775,162,293,83,322,523,392,68
90,476.56666666666666,435.77231695258274,243,405,260,50,417,494,332,255,2262,539,391,243,97,71,861,888,720,1417,623,294,703,428,213,285,429,532,262,201,133,249
100,123.53333333333333,82.012085830213,430,71,204,145,96,86,88,57,293,43,101,133,180,191,143,107,110,51,36,106,92,52,34,58,194,128,175,123,43,136
110,153.7,114.48876218505757,498,42,162,120,239,219,81,236,40,33,168,38,36,45,127,101,219,141,71,37,116,123,125,441,172,309,306,116,179,71
120,121.16666666666667,73.56678749423698,97,63,72,58,54,126,141,215,94,130,259,102,143,72,193,60,129,121,200,94,141,15,351,107,65,33,180,38,62,220
130,425.0,374.0478579005633,107,15,840,612,250,411,155,396,220,73,491,621,504,775,113,136,252,1148,1497,300,293,237,113,1308,65,58,261,252,783,464
140,202.5,158.9217312599717,237,396,169,44,74,813,240,332,38,223,120,148,368,149,101,152,101,75,387,87,310,364,205,100,95,39,330,189,45,144
150,484.46666666666664,428.9992799786757,40,901,41,278,508,907,267,460,70,128,416,94,347,242,371,581,864,450,421,334,97,1028,1305,261,1758,305,454,1401,118,87
160,435.3333333333333,392.9890018251853,209,795,226,58,716,835,1637,226,79,146,29,323,1333,400,89,255,188,159,177,1063,143,139,519,476,797,127,397,210,792,517
170,168.13333333333333,159.49581673371736,116,130,94,556,125,102,109,51,21,21,646,35,332,220,75,118,121,37,55,334,70,187,63,219,517,185,48,290,100,67
180,161.2,126.49648216452503,340,327,61,86,165,29,14,136,172,164,7,124,132,261,82,582,160,24,117,130,23,194,90,54,175,306,103,406,213,159
190,777.2666666666667,862.0468638975236,1538,1247,154,105,148,235,781,977,254,428,596,641,1303,395,267,2534,690,4463,80,475,227,1022,215,165,778,1087,750,180,915,668
200,539.7,521.0323822310215,113,246,997,57,143,256,866,362,589,619,2375,89,57,1040,636,248,201,984,1273,148,45,223,43,245,488,324,934,1183,1226,181
210,197.76666666666668,156.4678206178155,388,128,452,366,115,244,36,220,198,277,177,64,114,440,53,212,146,47,350,87,675,18,168,76,343,26,117,305,16,75
220,501.26666666666665,339.8442715257812,371,528,698,464,1187,511,470,186,918,63,236,219,197,360,409,221,438,663,838,809,472,227,772,130,128,452,306,379,722,1664
230,188.7,175.43320666282082,28,65,99,24,301,194,24,56,109,117,465,269,469,205,189,196,42,42,32,13,387,215,102,122,54,298,581,84,170,709
240,162.56666666666666,177.93513487285813,8,155,58,0,6,194,419,172,141,562,17,107,277,0,426,399,42,108,155,94,9,0,524,15,136,0,195,569,12,77
250,161.26666666666668,224.08747300006655,77,184,22,154,395,116,279,77,91,23,0,0,6,700,200,13,75,48,34,117,57,237,771,5,62,41,853,86,0,115
260,185.06666666666666,154.85217323484858,192,154,48,23,539,67,116,52,39,67,169,649,102,254,147,381,178,118,25,118,117,308,167,425,380,60,324,179,96,58
270,49.733333333333334,44.9369434751507,16,77,37,0,8,19,16,57,12,23,82,80,5,83,14,55,2,34,102,200,0,69,72,79,105,22,53,17,25,128
280,306.6,271.2238435929506,110,447,1178,864,51,189,132,903,37,169,535,122,346,159,37,25,315,278,425,290,94,114,273,83,282,283,563,199,226,469
290,381.23333333333335,298.08831838157556,92,867,717,51,588,366,65,243,1202,178,49,86,216,497,244,124,86,369,64,777,903,198,730,521,468,192,247,249,604,444
300,294.9,251.3266599467713,109,781,138,542,13,242,475,171,214,259,430,286,32,99,434,198,691,407,9,1085,475,533,135,73,348,24,118,63,368,95
310,132.56666666666666,124.16297981103529,123,56,151,53,123,129,150,106,23,67,127,6,211,82,133,331,150,41,422,277,527,299,16,17,114,43,43,17,10,130
320,154.8,162.04410922132695,325,39,386,60,374,57,349,442,15,26,42,73,225,66,206,187,191,124,13,704,146,56,14,58,20,21,20,200,38,167
